,state,week_of_year,pop_count_2019,percent_age65over,percent_female,percent_white,percent_black,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
1324,New Hampshire,23,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,34120,2509.356767724906,392.0,28.82965571360385
1325,New Hampshire,24,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,36466,2681.893431766015,275.0,20.22488602357413
1326,New Hampshire,25,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,38143,2805.2284639897744,226.0,16.62117905937365
1327,New Hampshire,26,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,39500,2905.029083386102,203.0,14.929643137401992
1328,New Hampshire,27,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,40791,2999.9757301367717,150.0,11.031756012858617
1329,New Hampshire,28,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,41840,3077.1244771866964,157.0,11.546571293458685
1330,New Hampshire,29,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,42967,3160.009737363307,149.0,10.958210972772893
1331,New Hampshire,30,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,44350,3261.7225278018636,233.0,17.135994339973713
1332,New Hampshire,31,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,45828,3370.422097048564,198.0,14.561917936973373
1333,New Hampshire,32,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,47242,3474.414783729778,197.0,14.48837289688765
1334,New Hampshire,33,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,48441,3562.5952867925607,157.0,11.546571293458685
1335,New Hampshire,34,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,49377,3631.433444312799,119.0,8.751859770201168
1336,New Hampshire,35,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,50353,3703.2134034364653,147.0,10.811120892601442
1337,New Hampshire,36,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,51467,3785.1425780919626,193.0,14.194192736544753
1338,New Hampshire,37,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,53028,3899.9463856657776,249.0,18.3127149813453
1339,New Hampshire,38,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,54784,4029.0914760563087,251.0,18.45980506151675
1340,New Hampshire,39,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,56371,4145.807454672353,225.0,16.547634019287923
1341,New Hampshire,40,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,58800,4324.448357040577,473.0,34.7868039605475
1342,New Hampshire,41,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,62294,4581.4147271000975,498.0,36.6254299626906
1343,New Hampshire,42,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,66095,4860.959424465935,551.0,40.52331708723398
1344,New Hampshire,43,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,70163,5160.14064753466,634.0,46.62755541434908
1345,New Hampshire,44,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,75518,5553.974337193713,886.0,65.16090551595154
